D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
| epoch 1 |  iter 1 / 1327 | time 1[s] | perplexity 10001.88
| epoch 1 |  iter 21 / 1327 | time 10[s] | perplexity 2577.16
| epoch 1 |  iter 41 / 1327 | time 22[s] | perplexity 1515.54
| epoch 1 |  iter 61 / 1327 | time 28[s] | perplexity 1140.88
| epoch 1 |  iter 81 / 1327 | time 37[s] | perplexity 897.90
| epoch 1 |  iter 101 / 1327 | time 43[s] | perplexity 790.11
| epoch 1 |  iter 121 / 1327 | time 48[s] | perplexity 764.79
| epoch 1 |  iter 141 / 1327 | time 52[s] | perplexity 741.27
| epoch 1 |  iter 161 / 1327 | time 57[s] | perplexity 694.63
| epoch 1 |  iter 181 / 1327 | time 61[s] | perplexity 703.61
| epoch 1 |  iter 201 / 1327 | time 65[s] | perplexity 642.14
| epoch 1 |  iter 221 / 1327 | time 70[s] | perplexity 633.17
| epoch 1 |  iter 241 / 1327 | time 74[s] | perplexity 597.92
| epoch 1 |  iter 261 / 1327 | time 79[s] | perplexity 641.99
| epoch 1 |  iter 281 / 1327 | time 83[s] | perplexity 616.39
| epoch 1 |  iter 301 / 1327 | time 87[s] | perplexity 546.62
| epoch 1 |  iter 321 / 1327 | time 92[s] | perplexity 478.66
| epoch 1 |  iter 341 / 1327 | time 96[s] | perplexity 556.10
| epoch 1 |  iter 361 / 1327 | time 101[s] | perplexity 566.78
| epoch 1 |  iter 381 / 1327 | time 105[s] | perplexity 515.05
| epoch 1 |  iter 401 / 1327 | time 110[s] | perplexity 539.08
| epoch 1 |  iter 421 / 1327 | time 114[s] | perplexity 525.90
| epoch 1 |  iter 441 / 1327 | time 119[s] | perplexity 507.32
| epoch 1 |  iter 461 / 1327 | time 123[s] | perplexity 519.10
| epoch 1 |  iter 481 / 1327 | time 128[s] | perplexity 498.76
| epoch 1 |  iter 501 / 1327 | time 132[s] | perplexity 511.98
| epoch 1 |  iter 521 / 1327 | time 137[s] | perplexity 492.01
| epoch 1 |  iter 541 / 1327 | time 141[s] | perplexity 542.76
| epoch 1 |  iter 561 / 1327 | time 145[s] | perplexity 501.90
| epoch 1 |  iter 581 / 1327 | time 150[s] | perplexity 475.41
| epoch 1 |  iter 601 / 1327 | time 155[s] | perplexity 625.13
| epoch 1 |  iter 621 / 1327 | time 159[s] | perplexity 563.98
| epoch 1 |  iter 641 / 1327 | time 164[s] | perplexity 513.03
| epoch 1 |  iter 661 / 1327 | time 168[s] | perplexity 512.50
| epoch 1 |  iter 681 / 1327 | time 172[s] | perplexity 448.84
| epoch 1 |  iter 701 / 1327 | time 177[s] | perplexity 483.18
E:\machine_learning\recurrent_nerual_network\rnnlm.py:53: RuntimeWarning: overflow encountered in exp
  return 1 / (1 + np.exp(-x))
| epoch 1 |  iter 721 / 1327 | time 182[s] | perplexity 501.63
| epoch 1 |  iter 741 / 1327 | time 186[s] | perplexity 444.54
| epoch 1 |  iter 761 / 1327 | time 191[s] | perplexity 488.95
| epoch 1 |  iter 781 / 1327 | time 195[s] | perplexity 527.72
| epoch 1 |  iter 801 / 1327 | time 200[s] | perplexity 605.66
| epoch 1 |  iter 821 / 1327 | time 204[s] | perplexity 538.78
| epoch 1 |  iter 841 / 1327 | time 209[s] | perplexity 595.42
| epoch 1 |  iter 861 / 1327 | time 214[s] | perplexity 667.64
| epoch 1 |  iter 881 / 1327 | time 218[s] | perplexity 568.17
| epoch 1 |  iter 901 / 1327 | time 223[s] | perplexity 639.41
| epoch 1 |  iter 921 / 1327 | time 227[s] | perplexity 631.97
| epoch 1 |  iter 941 / 1327 | time 232[s] | perplexity 629.32
| epoch 1 |  iter 961 / 1327 | time 236[s] | perplexity 601.77
| epoch 1 |  iter 981 / 1327 | time 241[s] | perplexity 580.71
| epoch 1 |  iter 1001 / 1327 | time 246[s] | perplexity 523.48
| epoch 1 |  iter 1021 / 1327 | time 251[s] | perplexity 621.98
| epoch 1 |  iter 1041 / 1327 | time 256[s] | perplexity 574.97
| epoch 1 |  iter 1061 / 1327 | time 261[s] | perplexity 514.66
| epoch 1 |  iter 1081 / 1327 | time 266[s] | perplexity 556.65
| epoch 1 |  iter 1101 / 1327 | time 272[s] | perplexity 527.93
| epoch 1 |  iter 1121 / 1327 | time 277[s] | perplexity 604.60
| epoch 1 |  iter 1141 / 1327 | time 282[s] | perplexity 564.99
| epoch 1 |  iter 1161 / 1327 | time 287[s] | perplexity 551.37
| epoch 1 |  iter 1181 / 1327 | time 292[s] | perplexity 522.40
| epoch 1 |  iter 1201 / 1327 | time 297[s] | perplexity 459.22
| epoch 1 |  iter 1221 / 1327 | time 302[s] | perplexity 483.73
| epoch 1 |  iter 1241 / 1327 | time 307[s] | perplexity 547.28
