D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
------------------------------------------------------------
                       GPU Mode (cupy)
------------------------------------------------------------

| epoch 1 |  iter 1 / 1327 | time 3[s] | perplexity 10000.11
| epoch 1 |  iter 21 / 1327 | time 6[s] | perplexity 2884.28
| epoch 1 |  iter 41 / 1327 | time 8[s] | perplexity 1236.10
| epoch 1 |  iter 61 / 1327 | time 11[s] | perplexity 956.98
| epoch 1 |  iter 81 / 1327 | time 14[s] | perplexity 789.18
| epoch 1 |  iter 101 / 1327 | time 16[s] | perplexity 631.64
| epoch 1 |  iter 121 / 1327 | time 18[s] | perplexity 629.41
| epoch 1 |  iter 141 / 1327 | time 21[s] | perplexity 590.59
| epoch 1 |  iter 161 / 1327 | time 23[s] | perplexity 560.34
| epoch 1 |  iter 181 / 1327 | time 26[s] | perplexity 587.34
| epoch 1 |  iter 201 / 1327 | time 28[s] | perplexity 491.82
| epoch 1 |  iter 221 / 1327 | time 31[s] | perplexity 481.71
| epoch 1 |  iter 241 / 1327 | time 33[s] | perplexity 434.45
| epoch 1 |  iter 261 / 1327 | time 36[s] | perplexity 461.59
| epoch 1 |  iter 281 / 1327 | time 38[s] | perplexity 448.21
| epoch 1 |  iter 301 / 1327 | time 41[s] | perplexity 389.30
| epoch 1 |  iter 321 / 1327 | time 44[s] | perplexity 342.01
| epoch 1 |  iter 341 / 1327 | time 46[s] | perplexity 403.14
| epoch 1 |  iter 361 / 1327 | time 49[s] | perplexity 405.99
| epoch 1 |  iter 381 / 1327 | time 51[s] | perplexity 333.09
| epoch 1 |  iter 401 / 1327 | time 54[s] | perplexity 351.26
| epoch 1 |  iter 421 / 1327 | time 56[s] | perplexity 349.48
| epoch 1 |  iter 441 / 1327 | time 59[s] | perplexity 335.79
| epoch 1 |  iter 461 / 1327 | time 62[s] | perplexity 333.81
| epoch 1 |  iter 481 / 1327 | time 64[s] | perplexity 308.07
| epoch 1 |  iter 501 / 1327 | time 67[s] | perplexity 312.67
| epoch 1 |  iter 521 / 1327 | time 70[s] | perplexity 299.68
| epoch 1 |  iter 541 / 1327 | time 72[s] | perplexity 323.44
| epoch 1 |  iter 561 / 1327 | time 75[s] | perplexity 288.22
| epoch 1 |  iter 581 / 1327 | time 77[s] | perplexity 260.04
| epoch 1 |  iter 601 / 1327 | time 80[s] | perplexity 339.72
| epoch 1 |  iter 621 / 1327 | time 82[s] | perplexity 313.17
| epoch 1 |  iter 641 / 1327 | time 85[s] | perplexity 286.20
| epoch 1 |  iter 661 / 1327 | time 88[s] | perplexity 272.28
| epoch 1 |  iter 681 / 1327 | time 90[s] | perplexity 232.19
| epoch 1 |  iter 701 / 1327 | time 93[s] | perplexity 256.34
