D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/word2vec/cbow.py
------------------------------------------------------------
                       GPU Mode (cupy)
------------------------------------------------------------

| epoch 1 |  iter 1 / 9295 | time 0[s] | loss 4.16
| epoch 1 |  iter 21 / 9295 | time 0[s] | loss 4.16
| epoch 1 |  iter 41 / 9295 | time 1[s] | loss 4.15
| epoch 1 |  iter 61 / 9295 | time 1[s] | loss 4.12
| epoch 1 |  iter 81 / 9295 | time 1[s] | loss 4.04
| epoch 1 |  iter 101 / 9295 | time 2[s] | loss 3.91
| epoch 1 |  iter 121 / 9295 | time 2[s] | loss 3.77
| epoch 1 |  iter 141 / 9295 | time 3[s] | loss 3.61
| epoch 1 |  iter 161 / 9295 | time 3[s] | loss 3.48
| epoch 1 |  iter 181 / 9295 | time 3[s] | loss 3.35
| epoch 1 |  iter 201 / 9295 | time 4[s] | loss 3.26
| epoch 1 |  iter 221 / 9295 | time 4[s] | loss 3.17
| epoch 1 |  iter 241 / 9295 | time 4[s] | loss 3.10
| epoch 1 |  iter 261 / 9295 | time 5[s] | loss 3.02
| epoch 1 |  iter 281 / 9295 | time 5[s] | loss 2.96
| epoch 1 |  iter 301 / 9295 | time 5[s] | loss 2.93
| epoch 1 |  iter 321 / 9295 | time 6[s] | loss 2.90
| epoch 1 |  iter 341 / 9295 | time 6[s] | loss 2.86
| epoch 1 |  iter 361 / 9295 | time 6[s] | loss 2.81
| epoch 1 |  iter 381 / 9295 | time 7[s] | loss 2.80
| epoch 1 |  iter 401 / 9295 | time 7[s] | loss 2.77
| epoch 1 |  iter 421 / 9295 | time 8[s] | loss 2.76
| epoch 1 |  iter 441 / 9295 | time 8[s] | loss 2.75
| epoch 1 |  iter 461 / 9295 | time 8[s] | loss 2.73
| epoch 1 |  iter 481 / 9295 | time 9[s] | loss 2.72
| epoch 1 |  iter 501 / 9295 | time 9[s] | loss 2.68
| epoch 1 |  iter 521 / 9295 | time 9[s] | loss 2.69
| epoch 1 |  iter 541 / 9295 | time 10[s] | loss 2.66
| epoch 1 |  iter 561 / 9295 | time 10[s] | loss 2.68
| epoch 1 |  iter 581 / 9295 | time 10[s] | loss 2.68
| epoch 1 |  iter 601 / 9295 | time 11[s] | loss 2.67
| epoch 1 |  iter 621 / 9295 | time 11[s] | loss 2.65
| epoch 1 |  iter 641 / 9295 | time 12[s] | loss 2.65
| epoch 1 |  iter 661 / 9295 | time 12[s] | loss 2.64
| epoch 1 |  iter 681 / 9295 | time 12[s] | loss 2.64
| epoch 1 |  iter 701 / 9295 | time 13[s] | loss 2.63
| epoch 1 |  iter 721 / 9295 | time 13[s] | loss 2.62
| epoch 1 |  iter 741 / 9295 | time 13[s] | loss 2.62
| epoch 1 |  iter 761 / 9295 | time 14[s] | loss 2.61
| epoch 1 |  iter 781 / 9295 | time 14[s] | loss 2.64
| epoch 1 |  iter 801 / 9295 | time 14[s] | loss 2.62
| epoch 1 |  iter 821 / 9295 | time 15[s] | loss 2.60
| epoch 1 |  iter 841 / 9295 | time 15[s] | loss 2.58
| epoch 1 |  iter 861 / 9295 | time 16[s] | loss 2.61
| epoch 1 |  iter 881 / 9295 | time 16[s] | loss 2.62
| epoch 1 |  iter 901 / 9295 | time 16[s] | loss 2.60
| epoch 1 |  iter 921 / 9295 | time 17[s] | loss 2.59
| epoch 1 |  iter 941 / 9295 | time 17[s] | loss 2.60
| epoch 1 |  iter 961 / 9295 | time 17[s] | loss 2.57
| epoch 1 |  iter 981 / 9295 | time 18[s] | loss 2.58
| epoch 1 |  iter 1001 / 9295 | time 18[s] | loss 2.56
| epoch 1 |  iter 1021 / 9295 | time 18[s] | loss 2.55
| epoch 1 |  iter 1041 / 9295 | time 19[s] | loss 2.58
| epoch 1 |  iter 1061 / 9295 | time 19[s] | loss 2.55
| epoch 1 |  iter 1081 / 9295 | time 20[s] | loss 2.54
| epoch 1 |  iter 1101 / 9295 | time 20[s] | loss 2.58
| epoch 1 |  iter 1121 / 9295 | time 20[s] | loss 2.56
| epoch 1 |  iter 1141 / 9295 | time 21[s] | loss 2.55
| epoch 1 |  iter 1161 / 9295 | time 21[s] | loss 2.56
| epoch 1 |  iter 1181 / 9295 | time 21[s] | loss 2.55
| epoch 1 |  iter 1201 / 9295 | time 22[s] | loss 2.54
| epoch 1 |  iter 1221 / 9295 | time 22[s] | loss 2.55
| epoch 1 |  iter 1241 / 9295 | time 22[s] | loss 2.53
| epoch 1 |  iter 1261 / 9295 | time 23[s] | loss 2.56
| epoch 1 |  iter 1281 / 9295 | time 23[s] | loss 2.56
| epoch 1 |  iter 1301 / 9295 | time 24[s] | loss 2.54
| epoch 1 |  iter 1321 / 9295 | time 24[s] | loss 2.57
| epoch 1 |  iter 1341 / 9295 | time 24[s] | loss 2.56
| epoch 1 |  iter 1361 / 9295 | time 25[s] | loss 2.55
| epoch 1 |  iter 1381 / 9295 | time 25[s] | loss 2.53
| epoch 1 |  iter 1401 / 9295 | time 25[s] | loss 2.56
| epoch 1 |  iter 1421 / 9295 | time 26[s] | loss 2.53
| epoch 1 |  iter 1441 / 9295 | time 26[s] | loss 2.53
| epoch 1 |  iter 1461 / 9295 | time 26[s] | loss 2.54
| epoch 1 |  iter 1481 / 9295 | time 27[s] | loss 2.53
| epoch 1 |  iter 1501 / 9295 | time 27[s] | loss 2.52
| epoch 1 |  iter 1521 / 9295 | time 28[s] | loss 2.52
| epoch 1 |  iter 1541 / 9295 | time 28[s] | loss 2.52
| epoch 1 |  iter 1561 / 9295 | time 28[s] | loss 2.53
| epoch 1 |  iter 1581 / 9295 | time 29[s] | loss 2.53
| epoch 1 |  iter 1601 / 9295 | time 29[s] | loss 2.53
| epoch 1 |  iter 1621 / 9295 | time 29[s] | loss 2.53
| epoch 1 |  iter 1641 / 9295 | time 30[s] | loss 2.53
| epoch 1 |  iter 1661 / 9295 | time 30[s] | loss 2.51
| epoch 1 |  iter 1681 / 9295 | time 30[s] | loss 2.51
| epoch 1 |  iter 1701 / 9295 | time 31[s] | loss 2.50
| epoch 1 |  iter 1721 / 9295 | time 31[s] | loss 2.52
| epoch 1 |  iter 1741 / 9295 | time 32[s] | loss 2.53
| epoch 1 |  iter 1761 / 9295 | time 32[s] | loss 2.51
| epoch 1 |  iter 1781 / 9295 | time 32[s] | loss 2.52
| epoch 1 |  iter 1801 / 9295 | time 33[s] | loss 2.49
| epoch 1 |  iter 1821 / 9295 | time 33[s] | loss 2.51
| epoch 1 |  iter 1841 / 9295 | time 33[s] | loss 2.49
| epoch 1 |  iter 1861 / 9295 | time 34[s] | loss 2.52
| epoch 1 |  iter 1881 / 9295 | time 34[s] | loss 2.53
| epoch 1 |  iter 1901 / 9295 | time 35[s] | loss 2.52
| epoch 1 |  iter 1921 / 9295 | time 35[s] | loss 2.53
| epoch 1 |  iter 1941 / 9295 | time 35[s] | loss 2.50
| epoch 1 |  iter 1961 / 9295 | time 36[s] | loss 2.54
| epoch 1 |  iter 1981 / 9295 | time 36[s] | loss 2.51
| epoch 1 |  iter 2001 / 9295 | time 36[s] | loss 2.49
| epoch 1 |  iter 2021 / 9295 | time 37[s] | loss 2.51
| epoch 1 |  iter 2041 / 9295 | time 37[s] | loss 2.51
| epoch 1 |  iter 2061 / 9295 | time 37[s] | loss 2.51
| epoch 1 |  iter 2081 / 9295 | time 38[s] | loss 2.51
| epoch 1 |  iter 2101 / 9295 | time 38[s] | loss 2.51
| epoch 1 |  iter 2121 / 9295 | time 39[s] | loss 2.49
| epoch 1 |  iter 2141 / 9295 | time 39[s] | loss 2.51
| epoch 1 |  iter 2161 / 9295 | time 39[s] | loss 2.48
| epoch 1 |  iter 2181 / 9295 | time 40[s] | loss 2.48
| epoch 1 |  iter 2201 / 9295 | time 40[s] | loss 2.50
| epoch 1 |  iter 2221 / 9295 | time 40[s] | loss 2.50
| epoch 1 |  iter 2241 / 9295 | time 41[s] | loss 2.49
| epoch 1 |  iter 2261 / 9295 | time 41[s] | loss 2.50
| epoch 1 |  iter 2281 / 9295 | time 41[s] | loss 2.46
| epoch 1 |  iter 2301 / 9295 | time 42[s] | loss 2.51
| epoch 1 |  iter 2321 / 9295 | time 42[s] | loss 2.49
| epoch 1 |  iter 2341 / 9295 | time 43[s] | loss 2.51
| epoch 1 |  iter 2361 / 9295 | time 43[s] | loss 2.49
| epoch 1 |  iter 2381 / 9295 | time 43[s] | loss 2.49
| epoch 1 |  iter 2401 / 9295 | time 44[s] | loss 2.50
| epoch 1 |  iter 2421 / 9295 | time 44[s] | loss 2.50
| epoch 1 |  iter 2441 / 9295 | time 44[s] | loss 2.48
| epoch 1 |  iter 2461 / 9295 | time 45[s] | loss 2.48
| epoch 1 |  iter 2481 / 9295 | time 45[s] | loss 2.47
| epoch 1 |  iter 2501 / 9295 | time 45[s] | loss 2.49
| epoch 1 |  iter 2521 / 9295 | time 46[s] | loss 2.47
| epoch 1 |  iter 2541 / 9295 | time 46[s] | loss 2.49
| epoch 1 |  iter 2561 / 9295 | time 47[s] | loss 2.45
| epoch 1 |  iter 2581 / 9295 | time 47[s] | loss 2.48
| epoch 1 |  iter 2601 / 9295 | time 47[s] | loss 2.48
| epoch 1 |  iter 2621 / 9295 | time 48[s] | loss 2.49
| epoch 1 |  iter 2641 / 9295 | time 48[s] | loss 2.50
| epoch 1 |  iter 2661 / 9295 | time 48[s] | loss 2.46
| epoch 1 |  iter 2681 / 9295 | time 49[s] | loss 2.49
| epoch 1 |  iter 2701 / 9295 | time 49[s] | loss 2.51
| epoch 1 |  iter 2721 / 9295 | time 50[s] | loss 2.47
| epoch 1 |  iter 2741 / 9295 | time 50[s] | loss 2.48
| epoch 1 |  iter 2761 / 9295 | time 50[s] | loss 2.47
| epoch 1 |  iter 2781 / 9295 | time 51[s] | loss 2.45
| epoch 1 |  iter 2801 / 9295 | time 51[s] | loss 2.48
| epoch 1 |  iter 2821 / 9295 | time 51[s] | loss 2.48
| epoch 1 |  iter 2841 / 9295 | time 52[s] | loss 2.46
| epoch 1 |  iter 2861 / 9295 | time 52[s] | loss 2.45
| epoch 1 |  iter 2881 / 9295 | time 53[s] | loss 2.48
| epoch 1 |  iter 2901 / 9295 | time 53[s] | loss 2.44
| epoch 1 |  iter 2921 / 9295 | time 54[s] | loss 2.50
| epoch 1 |  iter 2941 / 9295 | time 54[s] | loss 2.44
| epoch 1 |  iter 2961 / 9295 | time 54[s] | loss 2.47
| epoch 1 |  iter 2981 / 9295 | time 55[s] | loss 2.46
| epoch 1 |  iter 3001 / 9295 | time 55[s] | loss 2.46
| epoch 1 |  iter 3021 / 9295 | time 55[s] | loss 2.47
| epoch 1 |  iter 3041 / 9295 | time 56[s] | loss 2.46
| epoch 1 |  iter 3061 / 9295 | time 56[s] | loss 2.45
| epoch 1 |  iter 3081 / 9295 | time 57[s] | loss 2.46
| epoch 1 |  iter 3101 / 9295 | time 57[s] | loss 2.45
| epoch 1 |  iter 3121 / 9295 | time 57[s] | loss 2.44
| epoch 1 |  iter 3141 / 9295 | time 58[s] | loss 2.46
| epoch 1 |  iter 3161 / 9295 | time 58[s] | loss 2.42
| epoch 1 |  iter 3181 / 9295 | time 58[s] | loss 2.44
| epoch 1 |  iter 3201 / 9295 | time 59[s] | loss 2.46
| epoch 1 |  iter 3221 / 9295 | time 59[s] | loss 2.44
| epoch 1 |  iter 3241 / 9295 | time 60[s] | loss 2.43
| epoch 1 |  iter 3261 / 9295 | time 60[s] | loss 2.43
| epoch 1 |  iter 3281 / 9295 | time 60[s] | loss 2.45
| epoch 1 |  iter 3301 / 9295 | time 61[s] | loss 2.45
| epoch 1 |  iter 3321 / 9295 | time 61[s] | loss 2.44
| epoch 1 |  iter 3341 / 9295 | time 62[s] | loss 2.44
| epoch 1 |  iter 3361 / 9295 | time 62[s] | loss 2.49
| epoch 1 |  iter 3381 / 9295 | time 62[s] | loss 2.48
| epoch 1 |  iter 3401 / 9295 | time 63[s] | loss 2.45
| epoch 1 |  iter 3421 / 9295 | time 63[s] | loss 2.46
| epoch 1 |  iter 3441 / 9295 | time 63[s] | loss 2.43
| epoch 1 |  iter 3461 / 9295 | time 64[s] | loss 2.43
| epoch 1 |  iter 3481 / 9295 | time 64[s] | loss 2.44
| epoch 1 |  iter 3501 / 9295 | time 65[s] | loss 2.46
| epoch 1 |  iter 3521 / 9295 | time 65[s] | loss 2.43
| epoch 1 |  iter 3541 / 9295 | time 65[s] | loss 2.44
| epoch 1 |  iter 3561 / 9295 | time 66[s] | loss 2.42
| epoch 1 |  iter 3581 / 9295 | time 66[s] | loss 2.42
| epoch 1 |  iter 3601 / 9295 | time 66[s] | loss 2.41
| epoch 1 |  iter 3621 / 9295 | time 67[s] | loss 2.45
| epoch 1 |  iter 3641 / 9295 | time 67[s] | loss 2.46
| epoch 1 |  iter 3661 / 9295 | time 68[s] | loss 2.43
| epoch 1 |  iter 3681 / 9295 | time 68[s] | loss 2.44
| epoch 1 |  iter 3701 / 9295 | time 68[s] | loss 2.42
| epoch 1 |  iter 3721 / 9295 | time 69[s] | loss 2.41
| epoch 1 |  iter 3741 / 9295 | time 69[s] | loss 2.41
